,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
2382,44,305,4.2,0,0,1,0,4,2,6,0,0,0,7,0,0,0,0,0,0,1,0,1.0,0
2383,84,393,4.8,0,0,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0
2384,28,96,5.0,0,0,0,0,4,7,7,7,0,0,0,0,0,0,0,0,2,1,0,1.0,0
2385,9,107,5.0,0,0,1,0,6,9,7,0,0,0,0,0,0,0,0,0,0,1,5,16.0,0
2386,12,0,0.0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2387,124,1762,4.9,0,0,0,0,55,8,7,0,0,5,7,0,0,0,0,0,0,2,0,1.0,1
2388,44,230,5.0,0,0,0,0,1,5,6,0,0,0,6,0,0,2,0,0,0,1,2,8.0,0
2389,37,3891,4.8,0,0,0,0,108,14,7,0,0,0,6,0,0,0,0,0,0,1,2,1.0,0
2390,96,413,4.7,0,0,1,0,28,7,6,5,0,0,0,0,0,0,0,0,7,2,0,1.0,0
2391,28,16,0.0,0,1,0,0,0,2,6,5,7,0,0,0,0,0,0,0,6,1,2,1.0,0
2392,78,334,5.0,0,0,0,0,12,7,6,2,0,0,7,0,0,6,0,0,3,1,0,1.0,0
2393,143,77,5.0,0,0,1,0,6,7,7,3,0,0,1,0,0,5,0,0,0,1,0,1.0,1
2394,16,4,0.0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2395,31,6,0.0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2396,93,1125,5.0,0,0,1,0,12,6,7,0,0,0,0,0,0,0,0,0,0,1,2,2.0,0
2397,22,29,5.0,0,0,0,0,2,2,7,0,0,0,0,2,0,0,0,0,0,1,1,11.0,0
2398,16,236,5.0,0,0,1,0,14,10,5,0,0,0,0,0,0,0,0,0,0,1,2,1.0,0
2399,6,44,5.0,3,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,1,10,1.0,0
2400,93,1139,4.9,0,0,1,0,13,4,6,0,0,0,7,0,0,1,0,0,0,1,0,1.0,0
2401,65,966,5.0,0,0,1,1,16,34,7,5,0,0,1,0,0,0,0,0,1,1,1,13.0,0
2402,6,50,5.0,3,0,0,0,3,13,7,0,0,0,0,0,0,0,0,0,5,1,13,2.0,0
2403,31,18,0.0,0,1,0,0,0,2,5,0,0,0,7,0,0,0,0,0,1,1,0,1.0,0
2404,124,591,5.0,0,0,1,0,16,5,7,7,0,0,0,0,0,0,0,0,0,1,1,1.0,1
2405,28,683,4.9,0,0,1,1,16,21,7,0,0,0,0,0,0,0,0,0,0,1,2,1.0,0
2406,37,75,0.0,0,1,0,0,0,4,7,0,2,0,0,0,0,0,0,0,0,1,2,24.0,0
2407,40,85,5.0,0,0,1,0,8,9,7,0,0,0,0,0,0,0,0,0,0,1,1,12.0,0
2408,31,7,0.0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2409,16,789,4.5,0,0,0,0,14,19,7,0,0,0,0,0,0,0,0,0,0,1,4,4.0,0
